sample_rep1,sample_rep2,approx_dry_weight_mg_rep1,approx_dry_weight_mg_rep2,species,site,age,individual_rep1,individual_rep2,tissue_complete,tissue_simple,tissue,live_dead,rep2_replicate,no_sample,CN_analysis_date,Pmicro_analysis_date,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_595_seed_old_def,,518.6,,x,,9,BAER,,seed,reproductive,seed_fruit,live,,use,2016_March,2016_March,207.56,13.681,749.276,1.785,18.965,2437.658,710.314,15.188,3083.916,14.886,490.11,2.158,49.06,0.7648
MQ_596_seed_pod_old_def,,2361.9,,x,,9,BAER,,seed_pod,reproductive,reproductive,live,,use,2016_March,2016_March,331.331,4.993,443.706,0.915,19.4,2666.465,708.624,6.165,2948.246,4.385,1149.38,0.796,50.58,0.5383
MQ_123_shed_bark,,SKIPPED,,BAER,Wilunga2012,1.4,BAER_30A,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_124_shed_sapwood,,SKIPPED,,BAER,Wilunga2012,1.4,BAER_30A,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_126_shed_bark,,SKIPPED,,BAER,Waratah2011,2.4,BAER_154,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_127_shed_sapwood,,SKIPPED,,BAER,Waratah2011,2.4,BAER_154,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_158_shed_bark,,SKIPPED,,BOLE,Wilunga2012,1.4,BOLE_xxx,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_159_shed_sapwood,,SKIPPED,,BOLE,Wilunga2012,1.4,BOLE_xxx,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_238_shed_bark,,SKIPPED,,EPMI,Wilunga2012,1.4,EPMI_xxx,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_239_shed_sapwood,,SKIPPED,,EPMI,Wilunga2012,1.4,EPMI_xxx,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_248_shed_bark,,SKIPPED,,EPMI,Waratah2011,2.4,EPMI_155,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_249_shed_sapwood,,SKIPPED,,EPMI,Waratah2011,2.4,EPMI_155,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_308_shed_sapwood,,SKIPPED,,GRBU,Wilunga2012,1.4,GRBU_311,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_334_shed_bark,,SKIPPED,,GRSP,Wilunga2012,1.4,GRSP_30X,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_335_shed_sapwood,,SKIPPED,,GRSP,Wilunga2012,1.4,GRSP_30X,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_430_shed_bark,,SKIPPED,,HEPU,Wilunga2012,1.4,HEPU_107,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_431_shed_sapwood,,SKIPPED,,HEPU,Wilunga2012,1.4,HEPU_107,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_483_shed_bark,,SKIPPED,,PELA,Basin2005,7,PELA_00X,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_484_shed_sapwood,,SKIPPED,,PELA,Basin2005,7,PELA_00X,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_504_shed_bark,,SKIPPED,,PEPU,Waratah2011,2.4,PEPU_155,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_505_shed_sapwood,,SKIPPED,,PEPU,Waratah2011,2.4,PEPU_155,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_517_shed_bark,,SKIPPED,,PEPU,Waratah2003,9,PEPU_807,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_518_shed_sapwood,,SKIPPED,,PEPU,Waratah2003,9,PEPU_807,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_526_shed_bark,,SKIPPED,,PHPH,Waratah2011,2.4,PHPH_15X,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_527_shed_sapwood,,SKIPPED,,PHPH,Waratah2011,2.4,PHPH_15X,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_565_shed_bark,,SKIPPED,,PUTU,Wilunga2012,1.4,PUTU_30X,,shed_bark,shed_bark,bark,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_566_shed_sapwood,,SKIPPED,,PUTU,Wilunga2012,1.4,PUTU_30X,,shed_sapwood,shed_sapwood,sapwood,dead,,no_sample,,,,,,,,,,,,,,,,
MQ_603_fruit_immature,,SKIPPED,,COER,,9,COER,,fruit_immature,reproductive,fruit_immature,live,,no_sample,,,,,,,,,,,,,,,,
MQ_660_seed_pod,,SKIPPED,,PILI,,9,PILI,,seed_pod,reproductive,seed_pod,live,,no_sample,,,,,,,,,,,,,,,,
MQ_663_fruit_seed_immature,,SKIPPED,,PUTU,,9,PUTU,,fruit_seed_immature,reproductive,fruit_seed_immature,live,,no_sample,,,,,,,,,,,,,,,,
